Setup1:LastAdaptive
Problem Type:  C
C Units:pF, G Units:mSie
Reduce Matrix:  FloatInfinityMatrix1
Frequency:  100kHz

Capacitance Matrix
,E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,
E_10, 0.27642, 0.25126, 0.26491, 0.26410, 0.24738, 0.26998, 0.27642, 0.34942, 2.64485, 0.00000, 2.90176, 0.28935
E_11, 0.34550, 0.29570, 0.24922, 0.24523, 0.24046, 0.24661, 0.25268, 0.30117, 0.34952, 2.90176, 0.00000, 2.90463
E_12, 2.65493, 0.34612, 0.27567, 0.26857, 0.24487, 0.26340, 0.26415, 0.25264, 0.27647, 0.28935, 2.90463, 0.00000

Conductance Matrix
,E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,
E_01, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000
E_02, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000
E_03, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000
E_04, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000
E_05, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000, 0.00000
E_06, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000
E_07, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000
E_08,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000
E_09,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000
E_10,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000, 0.00000,-0.00000
E_11, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000, 0.00000
E_12, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000

Conductance Matrix Coupling Coefficient
,E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,
E_01, 1.00000, 0.85212, 0.54962, 0.48586, 0.35055, 0.16022, 0.10866, 0.82832, 0.89062, 0.41447, 0.38129, 0.95846
E_02, 0.85212, 1.00000, 0.57078, 0.51216, 0.71786, 0.43434, 0.36717, 0.44120, 0.95282, 0.77441, 0.04780, 0.73957
E_03, 0.54962, 0.57078, 1.00000, 0.39700, 0.37540, 0.38707, 0.42663, 0.27306, 0.51344, 0.51064, 0.28775, 0.52446
E_04, 0.48586, 0.51216, 0.39700, 1.00000, 0.55257, 0.60370, 0.58607, 0.21680, 0.59325, 0.60856, 0.29840, 0.36560
E_05, 0.35055, 0.71786, 0.37540, 0.55257, 1.00000, 0.79412, 0.76522, 0.19182, 0.69386, 0.96058, 0.48932, 0.13415
E_06, 0.16022, 0.43434, 0.38707, 0.60370, 0.79412, 1.00000, 0.98236, 0.34158, 0.43395, 0.82414, 0.76825, 0.07308
E_07, 0.10866, 0.36717, 0.42663, 0.58607, 0.76522, 0.98236, 1.00000, 0.36517, 0.35990, 0.77499, 0.82368, 0.11725
E_08, 0.82832, 0.44120, 0.27306, 0.21680, 0.19182, 0.34158, 0.36517, 1.00000, 0.52932, 0.15138, 0.73861, 0.90872
E_09, 0.89062, 0.95282, 0.51344, 0.59325, 0.69386, 0.43395, 0.35990, 0.52932, 1.00000, 0.74159, 0.14384, 0.78173
E_10, 0.41447, 0.77441, 0.51064, 0.60856, 0.96058, 0.82414, 0.77499, 0.15138, 0.74159, 1.00000, 0.50411, 0.22352
